เพศ,อายุ,l(x),d(x),e°(x),1000q(x)
หญิง,28,990765,468,52.37,0.4728
หญิง,29,990296,481,51.39,0.4854
หญิง,30,989815,495,50.41,0.4998
หญิง,31,989321,511,49.44,0.5166
หญิง,32,988810,531,48.46,0.5368
หญิง,33,988279,555,47.49,0.5611
หญิง,34,987724,583,46.52,0.5904
หญิง,35,987141,617,45.54,0.6255
หญิง,36,986524,658,44.57,0.6668
หญิง,37,985866,705,43.6,0.715
หญิง,38,985161,759,42.63,0.7701
หญิง,39,984402,820,41.67,0.8326
หญิง,40,983583,888,40.7,0.9024
หญิง,41,982695,963,39.74,0.9798
หญิง,42,981732,1045,38.77,1.0648
หญิง,43,980687,1135,37.81,1.1574
หญิง,44,979552,1232,36.86,1.2576
หญิง,45,978320,1336,35.9,1.3655
หญิง,46,976984,1447,34.95,1.4816
หญิง,47,975537,1568,34.0,1.6069
หญิง,48,973969,1698,33.06,1.743
หญิง,49,972271,1840,32.11,1.8927
หญิง,50,970431,1999,31.17,2.0594
หญิง,51,968433,2176,30.24,2.2473
หญิง,52,966256,2378,29.3,2.4608
หญิง,53,963879,2607,28.38,2.7044
หญิง,54,961272,2867,27.45,2.9825
หญิง,55,958405,3162,26.53,3.2988
หญิง,56,955243,3493,25.62,3.6568
หญิง,57,951750,3864,24.71,4.0603
หญิง,58,947886,4278,23.81,4.5136
หญิง,59,943607,4740,22.91,5.0228
หญิง,60,938868,5254,22.03,5.5964
หญิง,61,933614,5832,21.15,6.2463
หญิง,62,927782,6484,20.28,6.9888
หญิง,63,921298,7228,19.42,7.845
หญิง,64,914070,8082,18.57,8.8415
หญิง,65,905989,9069,17.73,10.0098
หญิง,66,896920,10213,16.9,11.3864
หญิง,67,886707,11537,16.09,13.0107
หญิง,68,875170,13061,15.3,14.9239
หญิง,69,862109,14799,14.52,17.166
หญิง,70,847310,16754,13.77,19.773
หญิง,71,830557,18915,13.03,22.774
หญิง,72,811641,21256,12.33,26.1888
หญิง,73,790386,23733,11.64,30.0267
หญิง,74,766653,26287,10.99,34.2878
หญิง,75,740366,28848,10.36,38.9651
หญิง,76,711518,31342,9.76,44.0499
หญิง,77,680175,33693,9.19,49.5364
หญิง,78,646482,35833,8.64,55.4271
หญิง,79,610649,37699,8.12,61.736
หญิง,80,572950,39241,7.62,68.4894
หญิง,81,533709,40416,7.14,75.7265
หญิง,82,493293,41189,6.69,83.4974
หญิง,83,452105,41531,6.25,91.8619
หญิง,84,410573,41422,5.83,100.8872
หญิง,85,369152,40845,5.43,110.6464
หญิง,86,328306,39796,5.04,121.2165
หญิง,87,288510,38278,4.67,132.676
หญิง,88,250232,36746,4.31,146.8471
หญิง,89,213486,34698,3.97,162.5318
